"geoid_2010","zip","population","network_dist_3parks_miles","mean_dist_3parks_miles","asthma_ed_per10k","ami_ed_per10k","pm25_ug_m3","ozone_ppm","poverty_pct_below_2x_fpl","ozone_ppm_ces3_2012_2014","land_area_sq_mi","in_primary","within_1p25mi"
"06037106642","91344",2961,0.919890961783186,0.57931183,52.54,13.58,11.09275671,0.06718273,11.6,0.06,0.608948874220894,1,1
"06037541100","90220",3251,0.761366121848405,0.557179133333333,79.8,13.56,12.11029674,0.04259906,57.8,0.044,0.479293967002034,1,1
"06037543801","90745",5159,0.847270067804024,0.424650116666667,65.92,17.98,12.06694765,0.04050375,22.5,0.042,0.84864386706393,1,1
"06037405500","91790",6596,0.888798790066014,0.694236143333333,54.71,12.24,12.02349439,0.05763123,37.3,0.053,0.715012582293283,1,1
"06037543802","90745",6478,0.772364391951006,0.58637946,67.35,18.5,11.98352182,0.03975537,21.7,0.042,0.524166117774186,1,1
"06037405101","91706",5617,0.820522523462976,0.702517936666667,66.86,14.78,11.85730833,0.05938691,29.5,0.053,0.433363459954262,1,1
"06037541300","90222",5512,0.423361941263024,0.317817896666667,131.07,22.67,12.1101526,0.04320513,45.2,0.044,0.522160343871231,1,1
"06037206020","90012",8947,0.686754354569315,0.44231867,30.75,10.73,12.8734267,0.04863521,19,0.046,0.33628098755519,1,1
"06037541200","90222",6546,0.544259648651873,0.431993586666667,120.27,22.28,12.13075961,0.04259906,23.1,0.044,0.827012139963067,1,1
"06037541604","90221",5917,0.556143372703412,0.42575144,81.13,21.02,12.08865447,0.04320513,64.1,0.044,0.321857966984644,1,1
"06037199400","90031",4759,0.17293319514038,0.114326693333333,51.17,8.37,12.31141865,0.05070407,49.9,0.046,0.268765244948943,1,1
"06037199300","90031",4202,0.42339425256502,0.123231726666667,44.64,7.7,11.8291691,0.051214,36,0.048,1.00017426618997,1,1
"06037199900","90031",2692,0.523133649486996,0.43598252,52.95,8.87,12.7350876,0.04939042,51.9,0.046,0.171751026610697,1,1
"06037199201","90031",3660,0.437355841883401,0.329902063333333,59.14,9.64,12.70430833,0.05022962,66.6,0.046,0.152689439906734,1,1
