"GEOID","recorded_dist3_miles","centroid_x","centroid_y","popcentroid_x","popcentroid_y","dist3_planar","dist3_geodesic","dist1_planar","dist3_popcentroid","dist1_popcentroid","acres_0p5mi","acres_1mi","dist3_pna2016","walkshed2016_share","popcentroid_in_walkshed2016"
"06037123510",0.260426153333333,144909.96085684,-423319.908909494,144911.942641808,-423349.645412448,0.260704858874634,0.260237793896941,0.179635019123893,0.257805289628537,0.17935679894431,5.85875302022799,23.4849576606248,0.272486812291829,0.428627403511616,1
"06037123602",0.521280153333333,145043.399223669,-424860.322060506,145020.666533719,-424707.993272499,0.522234153666315,0.522276790197866,0.350825954197253,0.482092122226239,0.360666505924215,5.69593026001329,39.0044623902929,0.550635142485745,0.291579059581767,1
"06037123700",0.411990466666667,146585.515389257,-424430.254932276,146619.244993615,-424483.583448571,0.412819575391232,0.412536465278852,0.324934947751412,0.403081593976111,0.329668740327628,14.0841407393154,102.397907298597,0.490534810579031,0.479280247373889,0
"06037123800",0.554586416666667,147340.078660311,-424985.284753502,147321.295244854,-425089.932256206,0.556244623566402,0.555463110894339,0.23807285112268,0.570115527379542,0.304097764152272,8.78158087760617,53.0355298074761,0.64278487989967,0.573198692235322,1
"06037123601",0.228894876666667,145818.773444875,-425209.639268028,145805.368544653,-424787.252305399,0.229213289263379,0.229207661931998,0.196875715872264,0.14827678074669,0.0126811102585211,22.5199123656943,36.9702500177007,0.47294430532096,0.889519766227948,1
"06037124300",0.386695336666667,150770.330881212,-425371.169986677,150715.171945621,-425363.711476329,0.387170704733959,0.38676053284111,0.0981488629636131,0.413496729944872,0.119107136621067,13.9868264416457,18.7356917347421,0.186914906661933,0.298985750497289,0
"06037124500",0.77869639,145019.317896906,-425853.238345456,144965.733423542,-425730.948917253,0.780089652353101,0.779772253597698,0.721367341675178,0.767052729484669,0.710574823282306,0,20.1602333834451,0.823430510344256,0.0394089943049689,0
"06037127300",0.96560392,140991.589622799,-421911.146828478,141084.169104374,-422231.011431629,0.967674223530308,0.967672401793776,0.536693716852718,1.014777122821,0.708181537577108,0,0.957307760530124,0.967674189335673,0.0116294397347375,0
"06037127400",1.08813879333333,140164.07714426,-421652.140301067,140222.642929741,-422204.937979753,1.15319436438277,1.15269762983638,0.800897320623492,1.11051460153235,0.966874367509123,0,0.287768223388752,1.15319432575749,0,0
"06037127920",0.4031067,144156.531903191,-423060.880277278,144194.591332963,-423081.782432056,0.40412578928593,0.403786698777863,0.322478447396637,0.41052164013284,0.295693773771432,0.400991257020945,10.5168491309022,0.5257264447546,0.103031800833918,0
