"GEOID","population","asthma","ami","poverty","pm25","ozone","child_10","elderly_65"
"06037535603",3998,52.53,18.39,56.7,12.07030248,0.04490202,18.83,9.63
"06037404802",4196,66.86,14.78,34.4,11.95834831,0.05763123,13.35,11.8
"06037224010",2845,81.7,14.22,62.2,12.22607702,0.04676708,6.54,11.35
"06037434001",4410,73.28,15.5,51.8,12.04991184,0.05605125,14.22,8.62
"06037573201",4597,91,18.54,52.2,11.70913172,0.03975537,13.47,7.61
"06037553701",3981,61.83,18.28,60.5,12.05769894,0.0438112,14.39,7.06
"06037121020",3610,79.39,21.48,30.7,11.50132407,0.06350576,9.56,9.7
"06037294120",2687,76.33,21.61,46.7,11.73890922,0.03975537,19.87,6.77
"06037241400",3785,144.54,22.26,60.2,12.11292708,0.04259906,18.39,5.55
"06037408800",4387,74.6,16.81,51.4,12.63844027,0.05763123,10.96,6.34
"06037232700",6568,98.16,19.67,53.3,11.97007108,0.04490202,17.28,7.78
"06037224200",2557,81.54,14.2,70.4,12.17492801,0.04632538,10.91,6.37
"06037502301",5794,54.29,20.21,31.5,12.14573075,0.04863521,12.84,15.69
"06037408301",5569,48.99,17.53,36,12.07676548,0.05605125,14.49,12.44
"06037187102",3739,45.61,9.94,45.1,12.23722675,0.05070407,11.96,13.45
"06037533403",2848,47.78,18.57,40.3,12.12538715,0.04716458,14.29,13.34
"06037543100",7254,96.18,15.27,37.7,12.14085089,0.04192559,13.44,10.7
"06037239601",3682,113.88,27.88,61.8,12.13275518,0.04435661,20.04,5.57
"06037297110",4649,103.61,14.57,54.5,11.66349226,0.03809217,10.97,9.64
"06037228720",4825,69.72,22.77,71.7,12.21219619,0.04588368,18.94,6.9
"06037226420",5531,69.72,22.77,57.7,12.15802236,0.04632538,16.13,7.45
"06037540600",4981,66.54,13.36,65.8,12.10051881,0.0438112,21.98,7.15
"06037532001",3036,45.64,13.51,59.4,12.15638315,0.04981739,14.62,13.27
"06037199201",3660,59.14,9.64,66.6,12.70430833,0.05022962,11.99,10.03
"06037221401",3628,89.86,18.08,64.3,12.0125659,0.04588368,14.17,21.8
"06037535604",4476,52.53,18.39,51.7,12.06544894,0.04490202,17.58,8.62
